year,eiu,country
2019,1.43,Syria
2019,1.61,Chad
2019,1.72,Turkey
2019,1.92,Equatorial Guinea
2019,1.93,Tajikistan
2019,1.93,Saudi Arabia
2019,1.95,Yemen
2019,2.01,Uzbekistan
2019,2.02,Libya
2019,2.14,Laos
2019,2.15,Burundi
2019,2.26,China
2019,2.37,Eritrea
2019,2.38,Iran
2019,2.55,Bahrain
2019,2.63,Guinea-Bissau
2019,2.7,Sudan
2019,2.75,Azerbaijan
2019,2.76,United Arab Emirates
2019,2.77,Djibouti
2019,2.84,Cuba
2019,2.85,Afghanistan
2019,2.85,Cameroon
2019,2.88,Belarus
2019,2.88,Venezuela
2019,2.94,Kazakhstan
2019,3.06,Egypt
2019,3.06,Oman
2019,3.08,Vietnam
2019,3.11,Russia
2019,3.11,Congo
2019,3.14,Eswatini
2019,3.14,Guinea
2019,3.15,Comoros
2019,3.16,Rwanda
2019,3.16,Zimbabwe
2019,3.19,Qatar
2019,3.29,Niger
2019,3.3,Togo
2019,3.44,Ethiopia
2019,3.53,Cambodia
2019,3.55,Nicaragua
2019,3.55,Myanmar
2019,3.61,Gabon
2019,3.65,Mozambique
2019,3.72,Angola
2019,3.74,Iraq
2019,3.89,Palestine
2019,3.92,Mauritania
2019,3.93,Jordan
2019,3.93,Kuwait
2019,4.01,Algeria
2019,4.04,Burkina Faso
2019,4.09,Turkey
2019,4.12,Nigeria
2019,4.25,Pakistan
2019,4.33,Gambia
2019,4.36,Lebanon
2019,4.57,Haiti
2019,4.84,Bolivia
2019,4.86,Bolivia
2019,4.86,Sierra Leone
2019,4.89,Kuwait
2019,4.92,Mali
2019,5.02,Uganda
2019,5.09,Benin
2019,5.09,Zambia
2019,5.1,Morocco
2019,5.16,Tanzania
2019,5.18,Kenya
2019,5.26,Guatemala
2019,5.28,Nepal
2019,5.3,Bhutan
2019,5.42,Georgia
2019,5.42,Honduras
2019,5.45,Liberia
2019,5.5,Malawi
2019,5.54,Armenia
2019,5.64,Madagascar
2019,5.65,Montenegro
2019,5.75,Moldova
2019,5.81,Senegal
2019,5.85,Fiji
2019,5.88,Bangladesh
2019,5.89,Albania
2019,5.9,Ukraine
2019,5.97,North Macedonia
2019,6.02,Hong Kong
2019,6.02,Singapore
2019,6.03,Papua New Guinea
2019,6.09,Mexico
2019,6.15,El Salvador
2019,6.15,Guyana
2019,6.24,Paraguay
2019,6.27,Sri Lanka
2019,6.32,Thailand
2019,6.33,Ecuador
2019,6.41,Serbia
2019,6.43,Namibia
2019,6.48,Indonesia
2019,6.49,Romania
2019,6.5,Mongolia
2019,6.54,Dominican Republic
2019,6.54,Lesotho
2019,6.57,Croatia
2019,6.6,Peru
2019,6.62,Poland
2019,6.63,Hungary
2019,6.63,Ghana
2019,6.64,Philippines
2019,6.72,Tunisia
2019,6.86,Brazil
2019,6.9,India
2019,6.96,Jamaica
2019,6.98,Suriname
2019,7.02,Argentina
2019,7.03,Bulgaria
2019,7.05,Panama
2019,7.13,Colombia
2019,7.16,Trinidad and Tobago
2019,7.16,Malaysia
2019,7.17,Slovakia
2019,7.19,Timor
2019,7.24,South Africa
2019,7.43,Greece
2019,7.49,Latvia
2019,7.5,Lithuania
2019,7.5,Slovenia
2019,7.52,Italy
2019,7.59,Cyprus
2019,7.64,Belgium
2019,7.69,Cyprus
2019,7.73,Taiwan
2019,7.78,Cape Verde
2019,7.81,Botswana
2019,7.86,Israel
2019,7.9,Estonia
2019,7.95,Malta
2019,7.96,USA
2019,7.99,Japan
2019,8,South Africa
2019,8.03,Portugal
2019,8.08,Chile
2019,8.12,France
2019,8.13,Costa Rica
2019,8.18,Spain
2019,8.22,Mauritius
2019,8.29,Austria
2019,8.38,Uruguay
2019,8.52,UK
2019,8.68,Germany
2019,8.81,Luxembourg
2019,9.01,Netherlands
2019,9.03,Switzerland
2019,9.09,Australia
2019,9.22,Canada
2019,9.22,Denmark
2019,9.24,Ireland
2019,9.25,Finland
2019,9.26,New Zealand
2019,9.39,Sweden
2019,9.58,Iceland
2019,9.87,Norway
